date,keyword,channel,device,region,page_views,search_count,result_clicks,avg_stay_seconds,bounce_rate
2025-08-01,招投标公告,站内,PC,上海,22,12,4,86.4,0.17
2025-08-01,采购信息,外部链接,PC,浙江,39,12,8,90.8,0.32
2025-08-01,履约信息,站内,PC,湖北,36,6,3,141.7,0.21
2025-08-01,供应商查询,直接访问,PC,江苏,29,1,0,79.3,0.48
2025-08-01,废标公告,外部链接,移动端,浙江,32,12,4,64.9,0.2
2025-08-01,采购信息,直接访问,PC,四川,23,3,1,61.3,0.71
2025-08-01,合同公示,外部链接,PC,浙江,32,3,1,121.7,0.48
2025-08-01,政府采购,站内,移动端,浙江,8,1,0,28.7,0.7
2025-08-01,行业动态,站内,PC,山东,24,7,5,60.9,0.3
2025-08-01,行业动态,直接访问,移动端,湖北,20,6,2,97.9,0.6
2025-08-01,更正公告,直接访问,PC,湖北,31,10,3,179.4,0.47
2025-08-01,投诉处理,站内,PC,北京,51,11,9,121.8,0.22
2025-08-01,中标结果,外部链接,移动端,江苏,34,9,7,119.3,0.66
2025-08-01,政策解读,直接访问,PC,上海,27,9,8,70.5,0.16
2025-08-01,招标代理,站内,移动端,江苏,3,4,1,136.6,0.64
2025-08-01,投诉处理,外部链接,PC,山东,42,9,3,52.3,0.47
2025-08-01,竞争性谈判,直接访问,PC,四川,27,8,6,58.2,0.19
2025-08-01,招投标公告,外部链接,移动端,广东,8,2,1,28.9,0.17
2025-08-01,招标文件,外部链接,PC,山东,15,4,2,145.1,0.63
2025-08-01,工程招标,直接访问,PC,湖北,25,7,4,123.9,0.54
2025-08-01,招投标公告,站内,移动端,北京,8,4,1,86.3,0.32
2025-08-01,采购信息,付费推广,PC,北京,2,1,0,168.1,0.66
2025-08-01,工程招标,外部链接,PC,湖北,12,1,0,61.0,0.62
2025-08-01,中标结果,直接访问,移动端,山东,32,3,1,27.5,0.59
2025-08-01,招投标公告,直接访问,PC,山东,15,9,7,173.6,0.2
2025-08-01,工程招标,外部链接,移动端,浙江,22,7,2,114.3,0.52
2025-08-01,中标结果,外部链接,PC,江苏,13,4,2,61.0,0.23
2025-08-01,合同公示,外部链接,移动端,北京,2,1,0,105.1,0.45
2025-08-01,工程招标,直接访问,PC,浙江,38,6,3,106.0,0.33
2025-08-01,法律法规,站内,PC,江苏,16,11,4,36.7,0.21
2025-08-01,行业动态,直接访问,移动端,四川,22,4,2,97.1,0.69
2025-08-01,废标公告,直接访问,PC,江苏,20,1,0,176.7,0.25
2025-08-01,中标结果,站内,移动端,北京,19,2,1,23.8,0.37
2025-08-01,行业动态,直接访问,PC,四川,21,1,0,58.4,0.21
2025-08-01,电子招投标,站内,PC,上海,34,4,3,84.8,0.26
2025-08-01,招标代理,站内,PC,浙江,14,5,2,159.3,0.67
2025-08-01,采购信息,站内,PC,江苏,14,4,1,71.2,0.67
2025-08-01,投诉处理,直接访问,移动端,湖北,60,11,10,22.5,0.68
2025-08-01,采购信息,外部链接,移动端,广东,26,2,1,145.4,0.41
2025-08-01,法律法规,直接访问,移动端,浙江,4,5,1,102.2,0.63
2025-08-01,政府采购,付费推广,移动端,浙江,28,6,3,68.9,0.66
2025-08-01,竞争性谈判,直接访问,PC,湖北,26,6,3,38.6,0.4
2025-08-01,招标代理,外部链接,移动端,江苏,13,7,4,64.5,0.41
2025-08-01,行业报告,外部链接,PC,山东,45,11,5,164.0,0.63
2025-08-01,工程招标,直接访问,PC,四川,23,2,1,68.3,0.63
2025-08-01,工程招标,直接访问,移动端,北京,30,8,4,130.8,0.45
2025-08-01,采购信息,外部链接,PC,北京,13,7,3,108.3,0.7
2025-08-01,工程招标,直接访问,PC,四川,46,8,5,164.9,0.42
2025-08-01,工程招标,站内,PC,浙江,40,11,5,56.8,0.41
2025-08-01,询价公告,直接访问,PC,北京,26,3,1,42.8,0.28
2025-08-01,中标结果,直接访问,PC,广东,40,4,3,142.7,0.72
2025-08-01,招投标公告,站内,移动端,山东,24,1,0,81.2,0.68
2025-08-01,废标公告,外部链接,移动端,浙江,27,8,3,22.7,0.35
2025-08-01,政府采购,直接访问,PC,山东,31,3,2,81.8,0.49
2025-08-01,招投标公告,外部链接,PC,山东,14,3,1,52.3,0.35
2025-08-02,采购信息,付费推广,PC,北京,32,8,2,74.7,0.54
2025-08-02,电子招投标,外部链接,移动端,浙江,13,4,3,38.4,0.55
2025-08-02,行业动态,直接访问,移动端,四川,26,3,2,150.7,0.73
2025-08-02,招投标公告,直接访问,PC,湖北,14,7,6,113.9,0.65
2025-08-02,采购信息,外部链接,PC,北京,38,10,7,87.4,0.37
2025-08-02,政策解读,直接访问,移动端,山东,23,2,1,162.4,0.43
2025-08-02,工程招标,直接访问,PC,江苏,46,10,8,88.6,0.59
2025-08-02,采购信息,站内,移动端,北京,32,5,4,93.3,0.52
2025-08-02,供应商查询,直接访问,移动端,上海,19,8,3,63.3,0.51
2025-08-02,履约信息,外部链接,PC,浙江,15,2,0,107.9,0.29
2025-08-02,中标公示,站内,PC,广东,26,2,1,57.4,0.55
2025-08-02,供应商查询,外部链接,PC,四川,21,6,4,58.7,0.22
2025-08-02,工程招标,直接访问,PC,上海,12,4,1,135.4,0.74
2025-08-02,政策解读,直接访问,PC,浙江,13,5,2,20.3,0.47
2025-08-02,采购信息,付费推广,移动端,上海,39,11,9,159.4,0.49
2025-08-02,中标公示,直接访问,PC,广东,19,5,4,151.2,0.39
2025-08-02,招投标公告,外部链接,PC,上海,15,10,8,37.2,0.61
2025-08-02,资格预审,站内,PC,湖北,45,8,6,113.3,0.41
2025-08-02,行业动态,直接访问,移动端,北京,27,4,2,31.2,0.29
2025-08-02,行业动态,直接访问,PC,山东,25,5,1,63.8,0.67
2025-08-02,招投标公告,直接访问,PC,浙江,24,7,2,42.1,0.31
2025-08-02,工程招标,直接访问,移动端,江苏,31,8,3,83.2,0.31
2025-08-02,政策解读,直接访问,移动端,湖北,18,12,6,32.8,0.73
2025-08-02,废标公告,外部链接,移动端,江苏,21,10,3,102.1,0.42
2025-08-02,采购信息,付费推广,PC,山东,14,2,1,70.0,0.21
2025-08-02,工程招标,直接访问,PC,湖北,13,9,3,58.9,0.22
2025-08-02,电子招投标,站内,移动端,广东,49,11,9,26.8,0.46
2025-08-02,评标结果,外部链接,PC,广东,33,4,2,64.7,0.68
2025-08-02,中标公示,直接访问,移动端,浙江,22,12,5,84.1,0.28
2025-08-02,废标公告,直接访问,移动端,上海,37,8,7,132.3,0.4
2025-08-02,中标公示,外部链接,PC,上海,33,7,3,29.3,0.61
2025-08-02,更正公告,直接访问,移动端,江苏,26,1,0,113.1,0.75
2025-08-02,中标公示,直接访问,PC,四川,26,6,3,169.1,0.67
2025-08-02,投诉处理,直接访问,PC,湖北,22,1,0,166.0,0.38
2025-08-02,法律法规,站内,移动端,上海,30,8,7,174.4,0.35
2025-08-02,招投标公告,站内,PC,山东,27,1,0,124.1,0.24
2025-08-02,中标公示,付费推广,PC,湖北,39,11,4,127.2,0.47
2025-08-02,评标专家,外部链接,移动端,山东,10,9,3,120.2,0.7
2025-08-02,法律法规,站内,PC,北京,22,11,8,45.0,0.33
2025-08-02,招投标公告,直接访问,PC,四川,22,6,3,84.8,0.56
2025-08-02,工程招标,直接访问,移动端,湖北,57,10,7,112.5,0.29
2025-08-02,评标结果,外部链接,移动端,山东,8,5,3,89.6,0.36
2025-08-02,行业报告,外部链接,PC,江苏,24,8,6,156.2,0.21
2025-08-02,供应商查询,直接访问,PC,江苏,8,1,0,19.3,0.67
2025-08-02,电子招投标,付费推广,移动端,山东,25,5,3,147.9,0.28
2025-08-02,工程招标,直接访问,移动端,上海,13,11,4,145.8,0.17
2025-08-02,供应商查询,直接访问,移动端,四川,18,12,7,145.4,0.68
2025-08-03,政策解读,付费推广,移动端,江苏,44,8,7,159.0,0.63
2025-08-03,中标公示,直接访问,移动端,浙江,62,11,8,155.0,0.48
2025-08-03,招投标公告,直接访问,PC,北京,30,8,4,79.7,0.53
2025-08-03,供应商查询,外部链接,PC,四川,24,10,4,151.5,0.7
2025-08-03,招标文件,直接访问,PC,广东,7,5,4,56.0,0.47
2025-08-03,供应商查询,直接访问,移动端,湖北,42,10,7,85.2,0.21
2025-08-03,中标公示,直接访问,移动端,广东,38,12,6,172.0,0.66
2025-08-03,招投标公告,外部链接,PC,四川,30,1,0,37.8,0.66
2025-08-03,中标结果,外部链接,移动端,广东,4,1,0,145.5,0.27
2025-08-03,废标公告,外部链接,移动端,浙江,12,6,4,157.1,0.24
2025-08-03,工程招标,直接访问,PC,广东,20,3,1,70.5,0.25
2025-08-03,招投标公告,站内,PC,北京,28,8,4,114.2,0.42
2025-08-03,采购信息,外部链接,移动端,江苏,6,8,5,179.8,0.66
2025-08-03,中标结果,直接访问,移动端,山东,22,2,1,42.0,0.23
2025-08-03,评标结果,外部链接,移动端,湖北,40,10,6,116.1,0.21
2025-08-03,询价公告,站内,移动端,浙江,21,7,4,72.9,0.42
2025-08-03,中标结果,直接访问,PC,江苏,22,6,5,32.8,0.2
2025-08-03,中标结果,站内,PC,上海,30,9,3,37.8,0.36
2025-08-03,项目立项,站内,移动端,广东,12,5,3,111.6,0.28
2025-08-03,合同公示,直接访问,PC,四川,27,2,1,87.5,0.49
2025-08-03,框架协议,外部链接,移动端,广东,24,10,8,47.2,0.57
2025-08-03,招标文件,直接访问,PC,上海,11,10,7,138.0,0.73
