channel,funnel_step,sessions,pct_of_total_sessions
渠道类型1,总会话,2451,100.0
渠道类型1,浏览商品页,2451,100.0
渠道类型1,深度浏览,1908,77.85
渠道类型1,有购买意向信号,469,19.14
渠道类型1,成交,262,10.69
渠道类型2,总会话,3913,100.0
渠道类型2,浏览商品页,3905,99.8
渠道类型2,深度浏览,3454,88.27
渠道类型2,有购买意向信号,1106,28.26
渠道类型2,成交,847,21.65
渠道类型3,总会话,2052,100.0
渠道类型3,浏览商品页,2045,99.66
渠道类型3,深度浏览,1499,73.05
渠道类型3,有购买意向信号,281,13.69
渠道类型3,成交,180,8.77
渠道类型4,总会话,1069,100.0
渠道类型4,浏览商品页,1068,99.91
渠道类型4,深度浏览,915,85.59
渠道类型4,有购买意向信号,286,26.75
渠道类型4,成交,165,15.43
渠道类型5,总会话,260,100.0
渠道类型5,浏览商品页,253,97.31
渠道类型5,深度浏览,182,70.0
渠道类型5,有购买意向信号,61,23.46
渠道类型5,成交,56,21.54
渠道类型6,总会话,444,100.0
渠道类型6,浏览商品页,439,98.87
渠道类型6,深度浏览,358,80.63
渠道类型6,有购买意向信号,97,21.85
渠道类型6,成交,53,11.94
渠道类型7,总会话,40,100.0
渠道类型7,浏览商品页,40,100.0
渠道类型7,深度浏览,35,87.5
渠道类型7,有购买意向信号,20,50.0
渠道类型7,成交,12,30.0
渠道类型8,总会话,343,100.0
渠道类型8,浏览商品页,339,98.83
渠道类型8,深度浏览,278,81.05
渠道类型8,有购买意向信号,83,24.2
渠道类型8,成交,95,27.7
渠道类型9,总会话,42,100.0
渠道类型9,浏览商品页,42,100.0
渠道类型9,深度浏览,27,64.29
渠道类型9,有购买意向信号,5,11.9
渠道类型9,成交,4,9.52
渠道类型10,总会话,450,100.0
渠道类型10,浏览商品页,448,99.56
渠道类型10,深度浏览,365,81.11
渠道类型10,有购买意向信号,107,23.78
渠道类型10,成交,90,20.0
渠道类型11,总会话,247,100.0
渠道类型11,浏览商品页,247,100.0
渠道类型11,深度浏览,198,80.16
渠道类型11,有购买意向信号,48,19.43
渠道类型11,成交,47,19.03
渠道类型12,总会话,1,100.0
渠道类型12,浏览商品页,1,100.0
渠道类型12,深度浏览,0,0.0
渠道类型12,有购买意向信号,0,0.0
渠道类型12,成交,0,0.0
渠道类型13,总会话,738,100.0
渠道类型13,浏览商品页,738,100.0
渠道类型13,深度浏览,557,75.47
渠道类型13,有购买意向信号,105,14.23
渠道类型13,成交,43,5.83
渠道类型14,总会话,13,100.0
渠道类型14,浏览商品页,13,100.0
渠道类型14,深度浏览,13,100.0
渠道类型14,有购买意向信号,4,30.77
渠道类型14,成交,2,15.38
渠道类型15,总会话,38,100.0
渠道类型15,浏览商品页,35,92.11
渠道类型15,深度浏览,19,50.0
渠道类型15,有购买意向信号,1,2.63
渠道类型15,成交,0,0.0
渠道类型16,总会话,3,100.0
渠道类型16,浏览商品页,3,100.0
渠道类型16,深度浏览,3,100.0
渠道类型16,有购买意向信号,0,0.0
渠道类型16,成交,1,33.33
渠道类型17,总会话,1,100.0
渠道类型17,浏览商品页,1,100.0
渠道类型17,深度浏览,0,0.0
渠道类型17,有购买意向信号,0,0.0
渠道类型17,成交,0,0.0
渠道类型18,总会话,10,100.0
渠道类型18,浏览商品页,9,90.0
渠道类型18,深度浏览,6,60.0
渠道类型18,有购买意向信号,0,0.0
渠道类型18,成交,0,0.0
渠道类型19,总会话,17,100.0
渠道类型19,浏览商品页,17,100.0
渠道类型19,深度浏览,13,76.47
渠道类型19,有购买意向信号,2,11.76
渠道类型19,成交,1,5.88
渠道类型20,总会话,198,100.0
渠道类型20,浏览商品页,198,100.0
渠道类型20,深度浏览,142,71.72
渠道类型20,有购买意向信号,55,27.78
渠道类型20,成交,50,25.25
