date,keyword,channel,page_views,search_count,avg_stay_seconds
2025/9/1,招投标公告,直接访问,320,85,42
2025/9/1,工程招标,外部链接,210,62,38
2025/9/1,采购信息,站内,180,48,35
2025/9/2,招投标公告,直接访问,340,90,44
2025/9/2,供应商查询,直接访问,150,40,31
2025/9/2,中标结果,外部链接,280,72,52
2025/9/3,招标文件,站内,195,55,39
2025/9/3,招投标公告,直接访问,360,95,45
2025/9/3,政策解读,外部链接,120,28,62
2025/9/4,工程招标,直接访问,230,68,41
2025/9/4,采购信息,外部链接,175,45,36
2025/9/4,行业动态,站内,98,22,28
2025/9/5,招投标公告,直接访问,380,102,46
2025/9/5,中标公示,直接访问,265,70,48
2025/9/5,供应商查询,外部链接,142,38,33
2025/9/8,招标文件,直接访问,205,58,40
2025/9/8,工程招标,站内,218,64,37
2025/9/8,招投标公告,外部链接,295,78,43
2025/9/9,采购信息,直接访问,188,50,34
2025/9/9,政策解读,直接访问,135,32,58
2025/9/9,中标结果,外部链接,302,80,51
2025/9/10,招投标公告,直接访问,410,108,47
2025/9/10,行业报告,站内,88,18,25
2025/9/10,工程招标,直接访问,245,71,42
2025/9/11,供应商查询,外部链接,160,42,32
2025/9/11,招标文件,直接访问,198,54,38
2025/9/11,招投标公告,直接访问,395,104,45
2025/9/12,采购信息,站内,172,46,35
2025/9/12,中标公示,直接访问,278,74,49
2025/9/12,工程招标,外部链接,225,66,39
2025/9/15,招投标公告,直接访问,425,112,48
2025/9/15,政策解读,直接访问,128,30,55
2025/9/15,招标文件,外部链接,212,57,41
2025/9/16,供应商查询,直接访问,155,41,34
2025/9/16,中标结果,站内,290,76,50
2025/9/16,招投标公告,直接访问,400,106,46
2025/9/17,工程招标,直接访问,238,69,40
2025/9/17,采购信息,外部链接,182,49,36
2025/9/17,行业动态,直接访问,105,24,29
2025/9/18,招投标公告,直接访问,430,115,49
2025/9/18,中标公示,外部链接,285,75,47
2025/9/18,招标文件,直接访问,215,59,42
2025/9/19,供应商查询,站内,148,39,33
2025/9/19,工程招标,直接访问,252,73,41
2025/9/19,招投标公告,外部链接,388,101,44
2025/9/22,采购信息,直接访问,190,51,37
2025/9/22,政策解读,外部链接,122,27,57
2025/9/22,中标结果,直接访问,308,82,52
2025/9/23,招投标公告,直接访问,440,118,50
2025/9/23,招标文件,站内,208,56,39
2025/9/23,工程招标,直接访问,248,72,43
2025/9/24,供应商查询,外部链接,158,43,35
2025/9/24,招投标公告,直接访问,415,110,48
2025/9/24,采购信息,直接访问,186,47,36
2025/9/25,中标公示,直接访问,292,78,48
2025/9/25,行业报告,站内,92,19,26
2025/9/25,工程招标,外部链接,232,67,40
2025/9/26,招投标公告,直接访问,450,120,51
2025/9/26,招标文件,直接访问,220,60,41
2025/9/26,政策解读,直接访问,130,31,56
2025/10/6,招投标公告,直接访问,465,125,52
2025/10/6,工程招标,外部链接,255,74,42
2025/10/6,采购信息,站内,195,52,38
2025/10/7,中标结果,直接访问,315,84,53
2025/10/7,供应商查询,直接访问,162,44,34
2025/10/7,招投标公告,直接访问,470,128,51
2025/10/8,招标文件,外部链接,225,61,42
2025/10/8,工程招标,直接访问,260,75,44
2025/10/8,行业动态,直接访问,110,25,30
2025/10/9,招投标公告,直接访问,480,130,53
2025/10/9,中标公示,站内,298,79,49
2025/10/9,采购信息,直接访问,200,53,37
2025/10/10,政策解读,外部链接,125,29,54
2025/10/10,招投标公告,直接访问,475,127,52
2025/10/10,供应商查询,直接访问,168,45,35
2025/10/13,工程招标,直接访问,268,77,43
2025/10/13,招标文件,直接访问,228,62,41
2025/10/13,招投标公告,外部链接,455,122,50
2025/10/14,采购信息,站内,192,50,36
2025/10/14,中标结果,直接访问,322,86,54
2025/10/14,招投标公告,直接访问,490,132,53
2025/10/15,供应商查询,外部链接,170,46,36
2025/10/15,工程招标,直接访问,272,78,44
2025/10/15,行业报告,直接访问,95,20,27
2025/10/16,招投标公告,直接访问,500,135,54
2025/10/16,招标文件,外部链接,235,63,42
2025/10/16,中标公示,直接访问,305,81,50
2025/10/17,采购信息,直接访问,205,54,38
2025/10/17,政策解读,直接访问,132,32,55
2025/10/17,招投标公告,站内,485,129,52
2025/11/3,招投标公告,直接访问,510,138,55
2025/11/3,工程招标,外部链接,278,80,45
2025/11/3,供应商查询,直接访问,175,47,37
2025/11/4,招标文件,直接访问,240,65,43
2025/11/4,中标结果,外部链接,328,88,55
2025/11/4,招投标公告,直接访问,520,140,56
2025/11/5,采购信息,站内,210,55,39
2025/11/5,工程招标,直接访问,285,82,46
2025/11/5,政策解读,直接访问,138,33,56
