customer_id,package_type,open_status,service_type,phone_service,tenure_months,monthly_charges
7590-VHVEG,月付套餐,在网,宽带 DSL,未开通电话,1,29.85
5575-GNVDE,一年合约,在网,宽带 DSL,已开通电话,34,56.95
3668-QPYBK,月付套餐,已流失,宽带 DSL,已开通电话,2,53.85
7795-CFOCW,一年合约,在网,宽带 DSL,未开通电话,45,42.3
9237-HQITU,月付套餐,已流失,光纤,已开通电话,2,70.7
9305-CDSKC,月付套餐,已流失,光纤,已开通电话,8,99.65
1452-KIOVK,月付套餐,在网,光纤,已开通电话,22,89.1
6713-OKOMC,月付套餐,在网,宽带 DSL,未开通电话,10,29.75
7892-POOKP,月付套餐,已流失,光纤,已开通电话,28,104.8
6388-TABGU,一年合约,在网,宽带 DSL,已开通电话,62,56.15
9763-GRSKD,月付套餐,在网,宽带 DSL,已开通电话,13,49.95
7469-LKBCI,两年合约,在网,未开通互联网,已开通电话,16,18.95
8091-TTVAX,一年合约,在网,光纤,已开通电话,58,100.35
0280-XJGEX,月付套餐,已流失,光纤,已开通电话,49,103.7
5129-JLPIS,月付套餐,在网,光纤,已开通电话,25,105.5
3655-SNQYZ,两年合约,在网,光纤,已开通电话,69,113.25
8191-XWSZG,一年合约,在网,未开通互联网,已开通电话,52,20.65
9959-WOFKT,两年合约,在网,光纤,已开通电话,71,106.7
4190-MFLUW,月付套餐,已流失,宽带 DSL,已开通电话,10,55.2
4183-MYFRB,月付套餐,在网,光纤,已开通电话,21,90.05
8779-QRDMV,月付套餐,已流失,宽带 DSL,未开通电话,1,39.65
1680-VDCWW,一年合约,在网,未开通互联网,已开通电话,12,19.8
1066-JKSGK,月付套餐,已流失,未开通互联网,已开通电话,1,20.15
3638-WEABW,两年合约,在网,宽带 DSL,已开通电话,58,59.9
6322-HRPFA,月付套餐,在网,宽带 DSL,已开通电话,49,59.6
6865-JZNKO,月付套餐,在网,宽带 DSL,已开通电话,30,55.3
6467-CHFZW,月付套餐,已流失,光纤,已开通电话,47,99.35
8665-UTDHZ,月付套餐,已流失,宽带 DSL,未开通电话,1,30.2
5248-YGIJN,两年合约,在网,宽带 DSL,已开通电话,72,90.25
8773-HHUOZ,月付套餐,已流失,宽带 DSL,已开通电话,17,64.7
3841-NFECX,两年合约,在网,光纤,已开通电话,71,96.35
4929-XIHVW,月付套餐,在网,光纤,已开通电话,2,95.5
6827-IEAUQ,一年合约,在网,宽带 DSL,已开通电话,27,66.15
7310-EGVHZ,月付套餐,在网,未开通互联网,已开通电话,1,20.2
3413-BMNZE,月付套餐,在网,宽带 DSL,已开通电话,1,45.25
6234-RAAPL,两年合约,在网,光纤,已开通电话,72,99.9
6047-YHPVI,月付套餐,已流失,光纤,已开通电话,5,69.7
6572-ADKRS,月付套餐,在网,光纤,已开通电话,46,74.8
5380-WJKOV,月付套餐,已流失,光纤,已开通电话,34,106.35
8168-UQWWF,月付套餐,已流失,光纤,已开通电话,11,97.85
8865-TNMNX,一年合约,在网,宽带 DSL,已开通电话,10,49.55
9489-DEDVP,两年合约,在网,宽带 DSL,已开通电话,70,69.2
9867-JCZSP,一年合约,在网,未开通互联网,已开通电话,17,20.75
4671-VJLCL,两年合约,在网,宽带 DSL,已开通电话,63,79.85
4080-IIARD,月付套餐,在网,宽带 DSL,已开通电话,13,76.2
3714-NTNFO,月付套餐,在网,光纤,已开通电话,49,84.5
5948-UJZLF,月付套餐,在网,宽带 DSL,已开通电话,2,49.25
7760-OYPDY,月付套餐,已流失,光纤,已开通电话,2,80.65
7639-LIAYI,两年合约,在网,宽带 DSL,已开通电话,52,79.75
2954-PIBKO,两年合约,在网,宽带 DSL,已开通电话,69,64.15
8012-SOUDQ,月付套餐,在网,光纤,已开通电话,43,90.25
9420-LOJKX,月付套餐,已流失,光纤,已开通电话,15,99.1
6575-SUVOI,月付套餐,在网,宽带 DSL,已开通电话,25,69.5
7495-OOKFY,月付套餐,已流失,光纤,已开通电话,8,80.65
4667-QONEA,一年合约,在网,宽带 DSL,已开通电话,60,74.85
1658-BYGOY,月付套餐,已流失,光纤,已开通电话,18,95.45
8769-KKTPH,一年合约,在网,光纤,已开通电话,63,99.65
5067-XJQFU,一年合约,在网,光纤,已开通电话,66,108.45
3957-SQXML,两年合约,在网,未开通互联网,已开通电话,34,24.95
5954-BDFSG,两年合约,在网,光纤,已开通电话,72,107.5
0434-CSFON,月付套餐,在网,光纤,已开通电话,47,100.5
1215-FIGMP,月付套餐,在网,光纤,已开通电话,60,89.9
0526-SXDJP,两年合约,在网,宽带 DSL,未开通电话,72,42.1
0557-ASKVU,一年合约,在网,宽带 DSL,已开通电话,18,54.4
5698-BQJOH,月付套餐,已流失,光纤,已开通电话,9,94.4
5122-CYFXA,月付套餐,在网,宽带 DSL,已开通电话,3,75.3
