"id","title","url","time","source","keyword"
"1","浙江和源项目管理有限公司关于上城区政务云资源（2026）服务项目中标(成交)结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25827263.htm","2025-12-02","中国政府采购网","政务云"
"2","濮阳市政府采购中心濮阳市行政审批和政务信息管理局关于濮阳市市级政务云服务项目废标公告","http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202512/t20251202_25827075.htm","2025-12-02","中国政府采购网","政务云"
"3","山东省医疗保障局政务云医保域（数据中心A、B）云平台运维及许可更新服务项目公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251202_25825898.htm","2025-12-02","中国政府采购网","政务云"
"4","西安经济技术开发区财政金融局财政云系统及国资系统网络专线租赁项目中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251202_25827285.htm","2025-12-02","中国政府采购网","专线"
"5","长治市城市综合管理服务指挥中心竞争性磋商2025数字城管运营费(视频专线)结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25827005.htm","2025-12-02","中国政府采购网","专线"
"6","国家市场监督管理总局互联网和专线接入服务采购项目招标公告","http://www.ccgp.gov.cn/cggg/zygg/gkzb/202512/t20251202_25826939.htm","2025-12-02","中国政府采购网","专线"
"7","山东省福利彩票发行中心销售场所专线通讯项目公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251202_25825897.htm","2025-12-02","中国政府采购网","专线"
"8","国家海洋信息中心广东茂名红树林碳储量及碳汇调查项目比选公告","http://www.ccgp.gov.cn/cggg/zygg/qtgg/202512/t20251202_25827547.htm","2025-12-02","中国政府采购网","广东"
"9","广东科学技术职业学院汽车数智营销创新系统采购结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25827496.htm","2025-12-02","中国政府采购网","广东"
"10","广东省广州市海珠区消防救援大队2025年赤岗消防救援站综合功能室、消防员之家、车库文化布展项目成交公告","http://www.ccgp.gov.cn/cggg/zygg/cjgg/202512/t20251202_25827430.htm","2025-12-02","中国政府采购网","广东"
"11","广东技术师范大学智慧教育应用支撑平台建设项目（工程创新训练中心）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25827289.htm","2025-12-02","中国政府采购网","广东"
"12","广东省二沙体育训练中心2026-2028年桌面运维项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25827242.htm","2025-12-02","中国政府采购网","广东"
"13","广东质检院清新分部超大型耐火构件炉改造服务项目（0809-25411GDG302013001）采购暂停公告（第一次）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251202_25827029.htm","2025-12-02","中国政府采购网","广东"
"14","云南省公安厅·政务网站系统上云迁云服务事项采购项目成交公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251202_25827475.htm","2025-12-02","中国政府采购网","云"
"15","唐山市第二医院新建骨科大楼云桌面采购项目（双盲评审）公开招标二次公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251202_25827458.htm","2025-12-02","中国政府采购网","云"
"16","云之龙咨询集团有限公司关于眼前节测量评估系统及角膜生物力学分析仪采购（LZZC2025-G1-991019-YZLZ）公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251202_25827024.htm","2025-12-02","中国政府采购网","云"
"17","云之龙咨询集团有限公司关于心脏大血管手术器械采购（重）（LZZC2025-G1-991007-YZLZ）公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251202_25827020.htm","2025-12-02","中国政府采购网","云"
"18","烟台市120急救指挥中心烟台市“云急救”综合救治服务平台建设暨120调度指挥系统升级项目（预采购）中标结果更正公告","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251202_25825982.htm","2025-12-02","中国政府采购网","云"
"19","烟台市“云急救”综合救治服务平台建设暨120调度指挥系统升级项目成交公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251202_25825960.htm","2025-12-02","中国政府采购网","云"
"20","泰安市公安局交通警察支队信息化系统运行维护服务项目（D包：智能交通云计算存储系统运维服务项目）（三次）竞争性谈判公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202512/t20251202_25825745.htm","2025-12-02","中国政府采购网","云"
"21","黑龙江省营商环境建设监督局省级政务云异地灾备服务项目(二次)招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25820059.htm","2025-12-01","中国政府采购网","政务云"
"22","绵阳市数据局绵阳市政务云服务项目（2025年-2028年）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202512/t20251201_25816856.htm","2025-12-01","中国政府采购网","政务云"
"23","福建省市场监督管理局行政服务中心电子政务云平台资源暨增值云运维服务采购更正公告（第一次）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25816406.htm","2025-12-01","中国政府采购网","政务云"
"24","准格尔旗行政审批政务服务与数据管理局政务云信创升级扩容改造项目结果更正公告（第一次）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25815700.htm","2025-12-01","中国政府采购网","政务云"
"25","原平市医疗集团电子病历四级信息化能力提升项目数据链路专线租赁竞争性谈判的采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202512/t20251201_25824868.htm","2025-12-01","中国政府采购网","专线"
"26","漯河市第二职业高中庐山路校区校外双电源专线铺设及配套项目-竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25821664.htm","2025-12-01","中国政府采购网","专线"
"27","榆林市人事信息中心劳动保障大厦办公互联网及县市区三级金保专线服务项目中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25820219.htm","2025-12-01","中国政府采购网","专线"
"28","太原市迎泽区人民政府办公室公开招标2025年太原市迎泽区人民政府办公室互联网与政务外网专线接入服务项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25818355.htm","2025-12-01","中国政府采购网","专线"
"29","朝阳政务专网专线租用项目公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25816240.htm","2025-12-01","中国政府采购网","专线"
"30","广西壮族自治区政府采购中心关于宽带互联网电信专线租赁项目（GXZC2025-D3-003270-CGZX）成交结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25815398.htm","2025-12-01","中国政府采购网","专线"
